FIPS,County,State,Republican,Democrat,
26059,Hillsdale,MI,17037,5883,
26061,Houghton,MI,10378,7750,
26063,Huron,MI,12731,5490,
26065,Ingham,MI,47639,94212,
26067,Ionia,MI,20657,10901,
26069,Iosco,MI,9759,5373,
26071,Iron,MI,4216,2493,
26073,Isabella,MI,14815,14072,
26075,Jackson,MI,47372,31995,
26077,Kalamazoo,MI,56823,83686,
26079,Kalkaska,MI,7436,3002,
26081,Kent,MI,165741,187915,
26083,Keweenaw,MI,862,672,
26085,Lake,MI,3946,2288,
26087,Lapeer,MI,35482,16367,
26089,Leelanau,MI,7916,8795,
26091,Lenawee,MI,31541,20918,
26093,Livingston,MI,76982,48220,
26095,Luce,MI,2109,842,
26097,Mackinac,MI,4304,2632,
26099,Macomb,MI,263863,223952,
26101,Manistee,MI,8321,6107,
26103,Marquette,MI,16286,20465,
26105,Mason,MI,10207,6802,
26107,Mecosta,MI,13267,7375,
26109,Menominee,MI,8117,4316,
26111,Midland,MI,27675,20493,
26113,Missaukee,MI,6648,1967,
26115,Monroe,MI,52722,32980,
26117,Montcalm,MI,21815,9703,
26119,Montmorency,MI,4171,1628,
26121,Muskegon,MI,45133,45643,
26123,Newaygo,MI,18857,7873,
26125,Oakland,MI,325971,434148,
26127,Oceana,MI,8892,4944,
26129,Ogemaw,MI,8253,3475,
26131,Ontonagon,MI,2358,1391,
26133,Osceola,MI,8928,3214,
26135,Oscoda,MI,3466,1342,
26137,Otsego,MI,9779,4743,
26139,Ottawa,MI,100913,64705,
26141,Presque Isle,MI,5342,2911,
26143,Roscommon,MI,9670,5166,
26145,Saginaw,MI,50785,51088,
26147,St. Clair,MI,59185,31363,
26149,St. Joseph,MI,18127,9262,
26151,Sanilac,MI,16194,5966,
26153,Schoolcraft,MI,3090,1589,
26155,Shiawassee,MI,23149,15347,
26157,Tuscola,MI,20297,8712,
26159,Van Buren,MI,21591,16803,
26161,Washtenaw,MI,56241,157136,
26163,Wayne,MI,264553,597170,
26165,Wexford,MI,12102,5838,
17001,Adams,IL,24220,8633,
17003,Alexander,IL,1486,1114,
17005,Bond,IL,5625,2288,
17007,Boone,IL,13883,10542,
17009,Brown,IL,1931,486,
17011,Bureau,IL,10411,6669,
17013,Calhoun,IL,2046,677,
17015,Carroll,IL,5105,2748,
17017,Cass,IL,3625,1615,
17019,Champaign,IL,35285,57067,
17021,Christian,IL,11563,4335,
17023,Clark,IL,6226,1993,
17025,Clay,IL,5629,1129,
17027,Clinton,IL,14304,4493,
17029,Coles,IL,14037,8067,
17031,Cook,IL,558269,1725973,
17033,Crawford,IL,7043,2202,
17035,Cumberland,IL,4601,1142,
17037,DeKalb,IL,21905,24643,
17039,Dewitt,IL,5632,2191,
17041,Douglas,IL,6227,2335,
17043,DuPage,IL,193611,281222,
17045,Edgar,IL,6193,1887,
17047,Edwards,IL,2833,488,
17049,Effingham,IL,15006,3716,
17051,Fayette,IL,8055,1826,
17053,Ford,IL,5048,1754,
17055,Franklin,IL,13622,4760,
17057,Fulton,IL,9867,6503,
17059,Gallatin,IL,2019,622,
17061,Greene,IL,4770,1349,
17063,Grundy,IL,16523,9626,
17065,Hamilton,IL,3432,824,
17067,Hancock,IL,6906,2315,
17069,Hardin,IL,1691,449,
17071,Henderson,IL,2394,1187,
17073,Henry,IL,15300,9797,
17075,Iroquois,IL,10877,2908,
17077,Jackson,IL,10890,11181,
17079,Jasper,IL,4494,1007,
17081,Jefferson,IL,12476,4608,
17083,Jersey,IL,8712,2961,
17085,Jo Daviess,IL,7166,5109,
17087,Johnson,IL,5059,1281,
17089,Kane,IL,96775,130166,
17091,Kankakee,IL,28532,20271,
17093,Kendall,IL,29492,33168,
17095,Knox,IL,12009,10703,
17097,Lake,IL,123594,204032,
17099,LaSalle,IL,30113,22442,
17101,Lawrence,IL,4886,1419,
17103,Lee,IL,9630,6407,
17105,Livingston,IL,12208,4615,
17107,Logan,IL,9136,3840,
17109,McDonough,IL,7027,4992,
17111,McHenry,IL,82260,78154,
17113,McLean,IL,40502,43933,
17115,Macon,IL,28589,19847,
17117,Macoupin,IL,16153,7365,
17119,Madison,IL,76031,57836,
17121,Marion,IL,12678,4524,
17123,Marshall,IL,4197,2005,
17125,Mason,IL,4654,1985,
17127,Massac,IL,4997,1725,
17129,Menard,IL,4764,2022,
17131,Mercer,IL,5418,3280,
17133,Monroe,IL,14142,6569,
17135,Montgomery,IL,9544,3905,
17137,Morgan,IL,9950,5076,
17139,Moultrie,IL,4964,1662,
